Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Exchange
DDD,3D Systems Corporation,8.96,$1B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,NYSE
MMM,3M Company,156.9,$96.61B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,NYSE
WBAI,500.com Limited,19.89,$833.27M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,NYSE
WUBA,58.com Inc.,64,$7.41B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba,NYSE
AHC,A.H. Belo Corporation,5.51,$118.72M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,NYSE
ATEN,"A10 Networks, Inc.",7.85,$497.19M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,NYSE
AAC,"AAC Holdings, Inc.",24.72,$553.91M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,NYSE
AIR,AAR Corp.,24.65,$867.83M,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,NYSE
AAN,"Aaron&#39;s,  Inc.",24.5,$1.78B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,NYSE
ABB,ABB Ltd,18.6,$41.21B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,NYSE
ABT,Abbott Laboratories,45.46,$67.81B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,NYSE
ABBV,AbbVie Inc.,59.02,$96.48B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,NYSE
ANF,Abercrombie & Fitch Company,25.75,$1.78B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,NYSE
GCH,"Aberdeen Greater China Fund, Inc.",9.02,$82.88M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch,NYSE
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.77,$106.16M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq,NYSE
SGF,"Aberdeen Singapore Fund, Inc.",8.84,$68.06M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf,NYSE
ABM,ABM Industries Incorporated,30.1,$1.69B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm,NYSE
AKR,Acadia Realty Trust,33.55,$2.32B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr,NYSE
ACN,Accenture plc.,108.13,$70.08B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn,NYSE
ACCO,Acco Brands Corporation,7.88,$838.29M,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco,NYSE
ACW,Accuride Corporation New,2.5,$119.88M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw,NYSE
ACE,Ace Limited,116.13,$37.65B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace,NYSE
ATV,"Acorn International, Inc.",10.37,$43.06M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv,NYSE
ATU,Actuant Corporation,24.36,$1.45B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu,NYSE
AYI,Acuity Brands Inc,233.22,$10.18B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi,NYSE
ADX,"Adams Diversified Equity Fund, Inc.",13.05,$1.21B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx,NYSE
PEO,"Adams Natural Resources Fund, Inc.",19.46,$499.24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo,NYSE
AGRO,Adecoagro S.A.,10.98,$1.33B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro,NYSE
ADPT,Adeptus Health Inc.,58.29,$1.21B,1986,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt,NYSE
ADT,ADT Corporation,35.96,$5.93B,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/adt,NYSE
AAP,Advance Auto Parts Inc,162.34,$11.89B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap,NYSE
WMS,"Advanced Drainage Systems, Inc.",26.04,$1.39B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms,NYSE
ASX,"Advanced Semiconductor Engineering, Inc.",5.61,$8.7B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx,NYSE
AAV,Advantage Oil & Gas Ltd,5.35,$913.35M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav,NYSE
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,9.4,$1.64B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate,NYSE
AVK,Advent Claymore Convertible Securities and Income Fund,14.08,$332.02M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk,NYSE
AGC,Advent Claymore Convertible Securities and Income Fund II,5.75,$185.38M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc,NYSE
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.51,$115.76M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm,NYSE
ACM,AECOM,32.09,$4.86B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm,NYSE
ANW,Aegean Marine Petroleum Network Inc.,9.45,$456.16M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw,NYSE
AEB,Aegon NV,24.11,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb,NYSE
AED,Aegon NV,26.12,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed,NYSE
AEG,Aegon NV,6.18,$16.54B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg,NYSE
AEH,Aegon NV,25.6,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh,NYSE
